ID,Name,State,Height,Latitude,Longitude
1,Vorvar,Kerman,176,28.53996138539143, 58.171837777566225
2,Neshtroud,Alborz,110,36.034976, 51.124785	
3,Laton,Gilan,105,38.321178, 48.728661	
4,Sarankuh,Kerman,102,28.533333, 58.183333
5,Darre Eshgh,Charmahal va Bakhtiari,100,31.764689305749826, 50.787566012866925
6,Piran,Kermanshah,100,34.5,45.966667	
7,Shuy,Khuzestan,100,32.783333,48.816667
8,Nozhian,Lorestan,95,33.230577,48.574942
9,Krodikon,Charmahal va Bakhtiari,85,31.666667,50.966667
10,Margoon,Fars,84,30.491138, 51.893619	
11,Akhlamd,Khorasan,80,36.596944, 58.925278	
12,Absefid,Lorestan,75,32.999465333490804, 49.579293813052274
13,Punezar,Esfahan,71,32.958067425760525, 49.930425926391386
14,Shahlulak,Esfahan,70,32.29979172144037, 51.1526839303323
15,Sangan,Tehran,60,35.89608292250893, 51.20566308414637
16,Bisheh,Lorestan,58,33.330787895759535, 48.878897985295545
17,Gazu,Mazandaran,53,36.15687439304213, 52.86119489764643
18,Samirom,Esfahan,35,31.417157100225143, 51.60596064184845
19,Visadar,Gilan,15,37.59057732579378, 48.91220569768965
20,Lowe,Golsetan,14,37.34905207456224, 55.66263979768218


